customer_id,favourite_category,discount_per_order,avg_basket_size,coupen_usage_rate,tenure_months,gender,location,recency,frequency,monetary_value,avg_order_value,purchase_frequency,lifetime_value
0,12346,Apparel,4.648499999999999,1.5,1.0,31,F,New York,108,1,174.98174,174.98174,0.0006811989100817438,3.380479651929631
1,12347,Nest-USA,64.69785,5.7,0.3333333333333333,20,M,New York,60,31,12090.2958,390.00954193548387,0.02111716621253406,150.69221743609353
2,12348,Office,13.02686956521739,9.08695652173913,0.4782608695652174,39,M,California,74,8,1501.9262,187.740775,0.005449591280653951,36.50371809195629
3,12350,Apparel,24.00123529411765,1.2352941176470589,0.35294117647058826,25,M,California,18,11,1183.71394,107.61035818181819,0.007493188010899182,18.442112726122772
4,12356,Apparel,12.020583333333333,1.5555555555555556,0.3055555555555556,31,F,Chicago,108,13,1753.45086,134.88083538461538,0.008855585831062671,33.87499148704609
5,12359,Apparel,7.522625000000001,5.375,0.125,41,M,New York,131,3,653.19048,217.73015999999998,0.0020435967302452314,16.68966443076272
6,12370,Apparel,15.850483516483516,6.736263736263736,0.23076923076923078,21,F,New York,190,44,6749.99632,153.40900727272728,0.02997275204359673,88.33783113921702
7,12373,Apparel,10.105285714285714,1.5714285714285714,0.21428571428571427,23,F,New York,25,5,471.83844,94.367688,0.0034059945504087193,6.7630882872580536
8,12377,Apparel,21.163844155844156,5.467532467532467,0.2727272727272727,27,F,California,41,37,9848.12188,266.1654562162162,0.025204359673024524,165.70708608845194
9,12383,Apparel,8.053956521739131,2.681159420289855,0.30434782608695654,32,M,New York,100,39,5478.60846,140.47714000000002,0.02656675749318801,109.25570999532258
10,12386,Apparel,16.5379,1.5,0.6,38,M,California,157,6,568.05386,94.67564333333333,0.004087193460490463,13.452314540923904
11,12388,Apparel,11.087684210526314,1.3157894736842106,0.05263157894736842,31,M,Chicago,115,10,677.73101,67.773101,0.006811989100817439,13.093114108859112
12,12393,Apparel,20.30390909090909,5.409090909090909,0.4090909090909091,39,F,Chicago,123,13,2144.33024,164.94848,0.008855585831062671,52.117092422395295
13,12395,Apparel,10.2368125,1.90625,0.28125,10,F,New Jersey,165,14,1443.00892,103.07206571428571,0.009536784741144414,8.992758222460632
